Date,High,Low,Open,Close,Volume,Adj Close
3/2/2021,721.1099854,685,718.2800293,686.4400024,23732200,686.4400024
3/3/2021,700.7000122,651.710022,687.9899902,653.2000122,30208000,653.2000122
3/4/2021,668.4500122,600,655.7999878,621.4400024,65919500,621.4400024
3/5/2021,627.8400269,539.4899902,626.0599976,597.9500122,89396500,597.9500122
3/8/2021,620.1300049,558.789978,600.5499878,563,51787000,563
3/9/2021,678.0900269,595.210022,608.1799927,673.5800171,67523300,673.5800171
3/10/2021,717.8499756,655.0599976,700.2999878,668.0599976,60605700,668.0599976
3/11/2021,702.5,677.1799927,699.4000244,699.5999756,36253900,699.5999756
3/12/2021,694.8800049,666.1400146,670,693.7299805,33583800,693.7299805
3/15/2021,713.1799927,684.039978,694.0900269,707.9400024,29335600,707.9400024
3/16/2021,707.9199829,671,703.3499756,676.8800049,32195700,676.8800049
3/17/2021,703.7299805,651.0100098,656.8699951,701.8099976,40372500,701.8099976
3/18/2021,689.2299805,652,684.289978,653.1599731,33224800,653.1599731
3/19/2021,657.2299805,624.6199951,646.5999756,654.8699951,42894000,654.8699951
3/22/2021,699.6199951,668.75,684.5900269,670,39512200,670
3/23/2021,677.7999878,657.5100098,675.7700195,662.1599731,30491900,662.1599731
3/24/2021,668.0200195,630.1099854,667.9099731,630.2700195,33795200,630.2700195
3/25/2021,645.5,609.5,613,640.3900146,39224900,640.3900146
3/26/2021,643.8200073,599.8900146,641.8699951,618.710022,33852800,618.710022
3/29/2021,616.4799805,596.0200195,615.6400146,611.289978,28637000,611.289978
3/30/2021,637.6599731,591.0100098,601.75,635.6199951,39432400,635.6199951
3/31/2021,672,641.1099854,646.6199951,667.9299927,33337300,667.9299927
4/1/2021,692.4199829,659.4199829,688.3699951,661.75,35298400,661.75
4/5/2021,708.1599731,684.7000122,707.710022,691.0499878,41842800,691.0499878
4/6/2021,696.5499878,681.3699951,690.2999878,691.6199951,28271800,691.6199951
4/7/2021,691.3800049,667.8400269,687,670.9699707,26309400,670.9699707
4/8/2021,689.5499878,671.6500244,677.3800049,683.7999878,23924300,683.7999878
4/9/2021,680.9699707,669.4299927,677.7700195,677.0200195,21437100,677.0200195
4/12/2021,704.7999878,682.0900269,685.7000122,701.9799805,29135700,701.9799805
4/13/2021,763,710.6599731,712.7000122,762.3200073,44652800,762.3200073
4/14/2021,780.789978,728.0300293,770.7000122,732.2299805,49017400,732.2299805
4/15/2021,743.6900024,721.3099976,743.0999756,738.8499756,27848900,738.8499756
4/16/2021,749.4099731,724.5999756,728.6500244,739.7800293,27979500,739.7800293
4/19/2021,725.4000244,691.7999878,719.5999756,714.6300049,39686200,714.6300049
4/20/2021,737.25,710.6900024,717.4199829,718.9899902,35609000,718.9899902
4/21/2021,744.8400269,698,704.7700195,744.1199951,31215500,744.1199951
4/22/2021,753.7700195,718.039978,741.5,719.6900024,35590300,719.6900024
4/23/2021,737.3599854,715.460022,719.7999878,729.4000244,28370000,729.4000244
4/26/2021,749.2999878,732.6099854,741,738.2000122,31038500,738.2000122
4/27/2021,724,703.3499756,717.960022,704.7399902,29437000,704.7399902
4/28/2021,708.5,693.5999756,696.4099731,694.4000244,22271000,694.4000244
4/29/2021,702.25,668.5,699.5100098,677,28845400,677
4/30/2021,715.4699707,666.1400146,667.5900269,709.4400024,40758700,709.4400024
5/3/2021,706,680.5,703.7999878,684.9000244,27043100,684.9000244
5/4/2021,683.4500122,657.7000122,678.9400024,673.5999756,29739300,673.5999756
5/5/2021,685.2999878,667.3400269,681.0599976,670.9400024,21901900,670.9400024
5/6/2021,681.0200195,650,680.7600098,663.539978,27784600,663.539978
5/7/2021,690,660.2199707,665.7999878,672.3699951,23469200,672.3699951
5/10/2021,665.0499878,627.6099854,664.9000244,629.039978,31392400,629.039978
5/11/2021,627.0999756,595.5999756,599.2399902,617.2000122,46503900,617.2000122
5/12/2021,620.4099731,586.7700195,602.4899902,589.8900146,33823600,589.8900146
5/13/2021,606.460022,559.6500244,601.539978,571.6900024,44184900,571.6900024
5/14/2021,592.8699951,570.460022,583.4099731,589.7399902,33370900,589.7399902
5/17/2021,589.7299805,561.2000122,575.5499878,576.8300171,32390400,576.8300171
5/18/2021,596.25,563.3800049,568,577.8699951,36830600,577.8699951
5/19/2021,566.210022,546.9799805,552.5499878,563.460022,39578400,563.460022
5/20/2021,588.8499756,571.0700073,575,586.7800293,30821100,586.7800293
5/21/2021,596.6799927,580,596.1099854,580.8800049,26030600,580.8800049
5/24/2021,614.4799805,573.6500244,581.5999756,606.4400024,34558100,606.4400024
5/25/2021,613.9899902,595.710022,607.3099976,604.6900024,28005900,604.6900024
5/26/2021,626.1699829,601.5,607.5599976,619.1300049,28639300,619.1300049
5/27/2021,631.1300049,616.210022,620.2399902,630.8499756,26370600,630.8499756
5/28/2021,635.5900269,622.3800049,628.5,625.2199707,22737000,625.2199707
6/1/2021,633.7999878,620.5499878,627.7999878,623.9000244,18084900,623.9000244
6/2/2021,623.3599854,599.1400146,620.1300049,605.1199951,23302800,605.1199951
6/3/2021,604.5499878,571.2199707,601.7999878,572.8400269,30111900,572.8400269
6/4/2021,600.6099854,577.2000122,579.710022,599.0499878,24036900,599.0499878
6/7/2021,610,582.8800049,591.8300171,605.1300049,22543700,605.1300049
6/8/2021,623.0900269,595.5,623.0100098,603.5900269,26053400,603.5900269
6/9/2021,611.789978,597.6300049,602.1699829,598.7800293,16584600,598.7800293
6/10/2021,616.5900269,600.5,603.8800049,610.1199951,23919600,610.1199951
6/11/2021,612.5599976,601.5200195,610.2299805,609.8900146,16205300,609.8900146
